Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100u/35V/105°C,CP_Radial_D6.3mm_P2.50mm,22.917621,4.8,0.0,top
C2,100n/X5R/50V,C_0603_1608Metric,-21.0,-4.8,90.0,bottom
C3,22p/NP0,C_0603_1608Metric,6.2,5.7,90.0,bottom
C4,22p/NP0,C_0603_1608Metric,12.0,5.7,90.0,bottom
C5,22n/X5R/50V,C_0603_1608Metric,25.0,-4.8,270.0,bottom
C6,100n/X5R/50V,C_0603_1608Metric,23.4,-4.8,270.0,bottom
C7,100n/X5R/50V,C_0603_1608Metric,21.0,4.8,270.0,bottom
C8,1u/X5R/50V,C_0805_2012Metric,27.6,4.3,270.0,bottom
C9,1u/X5R/50V,C_0805_2012Metric,27.6,-4.3,90.0,bottom
C10,4.7u/X5R/10V,C_0603_1608Metric,21.0,-1.6,270.0,bottom
C11,100n/X5R/50V,C_0603_1608Metric,13.8,-5.7,270.0,bottom
C12,1u/X5R/50V,C_0805_2012Metric,-27.6,-4.3,90.0,bottom
C13,22n/X5R/50V,C_0603_1608Metric,-25.0,4.8,90.0,bottom
C14,4.7u/X5R/10V,C_0603_1608Metric,-21.0,1.6,90.0,bottom
C15,1u/X5R/50V,C_0805_2012Metric,-27.6,4.3,270.0,bottom
C16,100n/X5R/50V,C_0603_1608Metric,-23.4,4.8,90.0,bottom
C17,100u/35V/105°C,CP_Radial_D6.3mm_P2.50mm,-22.917621,-4.8,180.0,top
C18,100n/X5R/50V,C_0603_1608Metric,-19.2,-5.7,270.0,bottom
C21,100n/X5R/50V,C_0603_1608Metric,12.0,3.3,0.0,bottom
C22,4.7u/X5R/10V,C_0603_1608Metric,1.1,3.6,270.0,bottom
C24,100n/X5R/50V,C_0603_1608Metric,7.9,3.3,0.0,bottom
C26,100n/X5R/50V,C_0603_1608Metric,9.4,-6.6,0.0,bottom
C27,100n/X5R/50V,C_0603_1608Metric,13.8,5.7,90.0,bottom
C28,100n/X5R/50V,C_0603_1608Metric,-19.2,5.7,90.0,bottom
C29,1u/X5R/50V,C_0805_2012Metric,-7.5,-0.0,270.0,bottom
C30,4.7u/X5R/10V,C_0603_1608Metric,-3.2,1.4,180.0,bottom
FB1,600R@100MHz,L_0603_1608Metric,-9.3,-0.0,270.0,bottom
J1,CAN_IN,Molex_Micro-Fit_3.0_43045-0412_2x02_P3.00mm_Vertical,-9.0,-2.585,0.0,top
J2,CAN_OUT,Molex_Micro-Fit_3.0_43045-0412_2x02_P3.00mm_Vertical,-6.0,2.585,180.0,top
J3,M0_THERM,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,15.5,-4.7,0.0,top
J4,M1_THERM,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,-17.5,-4.7,0.0,top
